year,region,citizenship,immigration,population,immigration_ratio,citizenship_ratio
1981,Aargau,819,5774,64611,0.08936558790298865,0.012675860147652877
1981,Appenzell Ausserrhoden,69,692,5239,0.13208627600687153,0.013170452376407711
1981,Appenzell Innerrhoden,3,114,897,0.12709030100334448,0.0033444816053511705
1981,Basel-Landschaft,591,2871,30135,0.09527127924340469,0.019611747137879543
1981,Basel-Stadt,251,3768,35433,0.10634154601642537,0.007083791945361668
1981,Bern,858,7592,68593,0.1106818480019827,0.012508565013922704
1981,Fribourg,275,2172,13581,0.15992931301082394,0.020248877107724026
1981,Genève,2036,8813,113027,0.07797251984039212,0.018013395029506225
1981,Glarus,63,718,5771,0.12441517934500086,0.010916652226650494
1981,Graubünden,284,2906,15829,0.18358708699222945,0.017941752479626004
1981,Jura,129,632,6045,0.10454921422663359,0.021339950372208438
1981,Luzern,372,2999,24408,0.1228695509668961,0.015240904621435595
1981,Neuchâtel,404,2150,26647,0.08068450482230645,0.015161181371261306
1981,Nidwalden,45,206,1439,0.14315496872828354,0.03127171646977067
1981,No indication,0,0,0,,
1981,Obwalden,6,293,1595,0.18369905956112853,0.003761755485893417
1981,Schaffhausen,190,948,10692,0.08866442199775533,0.017770295548073325
1981,Schwyz,89,1005,8383,0.11988548252415603,0.010616724323034713
1981,Solothurn,344,2610,25488,0.10240112994350282,0.01349654739485248
1981,St. Gallen,746,5878,48976,0.12001796798431885,0.015231950343025154
1981,Switzerland,14299,92937,913497,0.10173760833368911,0.015653034437989398
1981,Thurgau,378,2780,27005,0.1029438992779115,0.013997407887428254
1981,Ticino,1856,5036,65914,0.0764025851867585,0.02815790272172831
1981,Uri,9,331,1883,0.17578332448220924,0.004779607010090282
1981,Valais,413,2872,18725,0.15337783711615488,0.02205607476635514
1981,Vaud,1359,11546,100544,0.1148352959898154,0.013516470401018459
1981,Zug,148,938,10125,0.09264197530864197,0.014617283950617285
1981,Zürich,2562,17293,182512,0.09474993425089857,0.014037433155080214
1982,Aargau,979,5176,66052,0.07836250227093805,0.014821655665233453
1982,Appenzell Ausserrhoden,48,580,5443,0.10655888296895094,0.008818666176740767
1982,Appenzell Innerrhoden,13,140,891,0.15712682379349047,0.014590347923681257
1982,Basel-Landschaft,654,2256,30373,0.07427649557172489,0.021532281960952162
1982,Basel-Stadt,480,3595,36103,0.09957621250311609,0.013295294019887544
1982,Bern,829,6938,70020,0.09908597543558983,0.011839474435875463
1982,Fribourg,185,2029,13991,0.14502179972839682,0.013222786076763634
1982,Genève,1411,10123,113962,0.08882785489900143,0.012381320089152525
1982,Glarus,54,533,5895,0.0904156064461408,0.00916030534351145
1982,Graubünden,259,2586,15990,0.16172607879924952,0.016197623514696686
1982,Jura,71,489,6046,0.08087992060866689,0.011743301356268608
1982,Luzern,464,2550,25349,0.10059568424789933,0.018304469604323644
1982,Neuchâtel,344,2101,26679,0.07875107762659769,0.012894036508114997
1982,Nidwalden,41,159,1427,0.11142256482130343,0.028731604765241767
1982,No indication,0,0,0,,
1982,Obwalden,30,240,1698,0.1413427561837456,0.0176678445229682
1982,Schaffhausen,177,670,11024,0.060776487663280115,0.01605587808417997
1982,Schwyz,76,990,8702,0.11376695012640772,0.008733624454148471
1982,Solothurn,342,1895,26261,0.07216023761471384,0.013023114123605347
1982,St. Gallen,705,5042,50678,0.09949090335056632,0.013911361932199377
1982,Switzerland,12723,86725,930593,0.09319326493966751,0.013671927469903599
1982,Thurgau,339,2381,27903,0.0853313263806759,0.012149231265455328
1982,Ticino,1204,4495,66097,0.06800611222899677,0.01821565275277244
1982,Uri,6,367,1939,0.18927282104177412,0.0030943785456420837
1982,Valais,240,3058,19247,0.15888190367329974,0.012469475762456488
1982,Vaud,963,11271,102490,0.10997170455654211,0.009396038637915894
1982,Zug,155,825,10401,0.07931929622151716,0.014902413229497164
1982,Zürich,2654,16236,185932,0.08732224684293183,0.014274035668954242
1983,Aargau,1048,4059,66839,0.06072801807328057,0.01567946857373689
1983,Appenzell Ausserrhoden,75,463,5633,0.08219421267530623,0.01331439730161548
1983,Appenzell Innerrhoden,11,116,925,0.1254054054054054,0.011891891891891892
1983,Basel-Landschaft,645,1691,30227,0.05594336189499454,0.021338538392827604
1983,Basel-Stadt,645,3872,36710,0.10547534731680741,0.017570144374829746
1983,Bern,941,5334,71106,0.07501476668635558,0.013233763676764267
1983,Fribourg,207,1534,14347,0.10692130759043703,0.01442810343625845
1983,Genève,1326,9045,117114,0.07723244018648497,0.011322301347405092
1983,Glarus,36,353,6010,0.05873544093178037,0.005990016638935108
1983,Graubünden,240,1834,16323,0.11235679715738528,0.014703179562580408
1983,Jura,78,366,6123,0.05977462028417443,0.012738853503184714
1983,Luzern,300,2143,25970,0.08251829033500192,0.011551790527531768
1983,Neuchâtel,265,1542,26614,0.05793943037499061,0.009957165401668295
1983,Nidwalden,32,156,1479,0.10547667342799188,0.021636240703177823
1983,No indication,0,0,0,,
1983,Obwalden,41,176,1750,0.10057142857142858,0.023428571428571427
1983,Schaffhausen,181,477,11042,0.04319869588842601,0.01639195797862706
1983,Schwyz,97,763,9079,0.08404009252120277,0.010683996034805595
1983,Solothurn,263,1400,26386,0.05305844008186159,0.009967406958235428
1983,St. Gallen,612,3794,51840,0.07318672839506173,0.011805555555555555
1983,Switzerland,11831,69145,946931,0.0730201038935255,0.012494046556718494
1983,Thurgau,329,1632,28436,0.057392038261358844,0.011569841046560697
1983,Ticino,799,2847,66711,0.0426766200476683,0.011977035271544423
